parcel,value
0010002007300,750
0020002040200,380
0180001007300,370
0260001006700,110
0350001006400,1300
0360004005400,630
0370001031900,140
0380A03028100,730
0390003003700,930
0390003004600,710
0400005012400,900
0420008004400,1240
0460003003200,1320
0460003011700,1500
0460003020200,
0490004011400,970
0490004014400,970
0510010009100,590
0530006000800,5340
0970001009000,550
0980005005700,350
1120006012100,
1130001005200,1850
1170A07028400,1160
1210001013300,1410
1210001038000,490
1230001006100,1620
1280001014500,1150
1300004000700,580
1310007032000,660
1780025011300,1240
1780026001600,2930
1790075036800,780
1820005011600,690
1950030003400,850
1950032006000,460
2020031017700,170
2040A15010500,140
2060014002500,1390
2100078001100,1150
2100078003900,810
2110068005400,1500
2140006002700,1800
2140006007500,1170
2180057012700,930
2210019007500,350
2240006008400,3190
2260004010700,6130
2340001006600,1750
2370003007400,650
2380005003000,900
2450002005600,500
2470002010800,
2470005024500,380
5000040011400,1690
5000043027400,1100
5000044007600,540
5000045018500,1080
5000045024300,1070
5000050007500,
5000060030800,
5000112001300,1890
5000112017400,5250
5000124020000,500
5000201015700,30
5000230011400,
5000230011800,
5000230013600,
5000301004100,6480
5000301009100,5600
5000360013200,960
5100011028300,1310
5100014005600,970
5100014006700,970
5100042040800,
5100051040000,1100
5100052042900,1330
5100054035900,900
5100070007300,1390
5100071013200,530
5100071046000,1210
5100073017500,1400
5100081061400,1250
5100082005700,
5100091011000,470
5100091014100,880
5100112005800,1100
5100140005000,7000
5100184022800,
5100212015400,3230
5100320013800,
5100360016300,550
5200170007500,160
5250007035700,2190
5250008007500,1520
5260040003200,10210
5260090005400,1280
5260120033100,2350
5280001013700,360
5280003049800,390
5290081004500,58940
5300050013300,
5400031010800,2010
5400041049000,440
5400043016800,1200
5400050030100,780
5400071022900,1130
5400071028500,1300
5400072029200,1010
5500010057200,1270
5500091013200,
5500113016900,900
5500132004800,720
5500140034000,1330
5500160001200,410
5500172067000,1100
5500221008300,460
5500234007000,10680
5500242008100,1470
5500280037300,1200
5500321011500,1110
5510005000300,870
5600170010500,2280
5610001017500,510
5610002046200,680
5610009022400,550
5700040025300,350
5700054003200,
5720009017600,320
5730011001200,
5820014039300,890
5900090000800,350
5900162008400,1410
5900210011600,1430
5900212006200,2150
5900212031200,1260
5900221001400,1400
5900222002800,500
5900230038900,1280
5900233009200,1660
5900351002700,920
5900360007400,1260
5900360019000,1190
5900391012600,1110
5900392025400,1020
5910008003700,1970
5910010018700,1010
5910012007400,710
5910021009200,2780
5910022014300,720
5910A07012200,600
5920003001600,3600
5920007016000,170
5920015002800,900
5920024002000,2090
5930008002000,230
5940050026000,50
5940050028100,100
5950001011200,560
5950001061300,490
5950004019700,960
5950008035400,330
5950008062200,320
5980061000600,400
5990031009500,1090
5990031027900,1350
5990032010800,1400
6000093020800,1580
6000231024700,990
6030009017200,2030
6030009023200,
6030013004700,1620
6030025006400,9630
6080007013200,990
6080017032600,940
6080023007700,1010
6090015011800,60
6110012007400,7880
6110020017900,1840
6120010010700,1160
6120050025100,590
6120080046000,3850
6120131010900,1180
6120170055500,
6200092020900,
6210007002100,780
6210007006300,700
6210012004100,930
6210012012200,840
6210012025600,480
6210018002300,870
6210020002300,1630
6300150009200,450
6410003001500,280
6410004002200,170
6510003006200,730
6510003008600,1150
6510030019600,780
6610002039600,410
6710025008900,770
